Severity	Count	Data Context	Binding Path	Target	Target Type	Description	File	Line	Project
Error	1	VCenterMigrationPage	ExportObjectsCommand	Button.Command	ICommand	ExportObjectsCommand property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	54	VCenterMigrationTool
Error	1	VCenterMigrationPage	ImportObjectsCommand	Button.Command	ICommand	ImportObjectsCommand property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	62	VCenterMigrationTool
Error	1	VCenterMigrationPage	RefreshConnectionsCommand	Button.Command	ICommand	RefreshConnectionsCommand property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	70	VCenterMigrationTool
Error	1	VCenterMigrationPage	StartMigrationCommand	Button.Command	ICommand	StartMigrationCommand property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	78	VCenterMigrationTool
Error	1	VCenterMigrationPage	CanStartMigration	Button.IsEnabled	Boolean	CanStartMigration property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	78	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsSourceConnected	Ellipse.Fill	Brush	IsSourceConnected property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	112	VCenterMigrationTool
Error	1	VCenterMigrationPage	SourceConnectionStatus	TextBlock.Text	String	SourceConnectionStatus property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	116	VCenterMigrationTool
Error	1	VCenterMigrationPage	SourceVCenterInfo	TextBlock.Text	String	SourceVCenterInfo property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	121	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsTargetConnected	Ellipse.Fill	Brush	IsTargetConnected property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	152	VCenterMigrationTool
Error	1	VCenterMigrationPage	TargetConnectionStatus	TextBlock.Text	String	TargetConnectionStatus property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	156	VCenterMigrationTool
Error	1	VCenterMigrationPage	TargetVCenterInfo	TextBlock.Text	String	TargetVCenterInfo property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	161	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrateRoles	CheckBox.IsChecked	Nullable`1	MigrateRoles property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	192	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrateFolders	CheckBox.IsChecked	Nullable`1	MigrateFolders property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	202	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrateTags	CheckBox.IsChecked	Nullable`1	MigrateTags property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	212	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigratePermissions	CheckBox.IsChecked	Nullable`1	MigratePermissions property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	225	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrateResourcePools	CheckBox.IsChecked	Nullable`1	MigrateResourcePools property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	235	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrateCustomAttributes	CheckBox.IsChecked	Nullable`1	MigrateCustomAttributes property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	245	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsLoadingClusters	ProgressRing.Visibility	Visibility	IsLoadingClusters property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	270	VCenterMigrationTool
Error	1	VCenterMigrationPage	SourceClusters	ComboBox.ItemsSource	IEnumerable	SourceClusters property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	287	VCenterMigrationTool
Error	1	VCenterMigrationPage	SelectedSourceCluster	ComboBox.SelectedItem	Object	SelectedSourceCluster property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	287	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsSourceConnected	ComboBox.IsEnabled	Boolean	IsSourceConnected property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	287	VCenterMigrationTool
Error	1	VCenterMigrationPage	TargetClusters	ComboBox.ItemsSource	IEnumerable	TargetClusters property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	320	VCenterMigrationTool
Error	1	VCenterMigrationPage	SelectedTargetCluster	ComboBox.SelectedItem	Object	SelectedTargetCluster property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	320	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsTargetConnected	ComboBox.IsEnabled	Boolean	IsTargetConnected property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	320	VCenterMigrationTool
Error	1	VCenterMigrationPage	ClusterItems	TextBlock.Text	String	ClusterItems property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	371	VCenterMigrationTool
Error	1	VCenterMigrationPage	TotalItemsToMigrate	TextBlock.Text	String	TotalItemsToMigrate property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	373	VCenterMigrationTool
Error	1	VCenterMigrationPage	LoadClusterItemsCommand	Button.Command	ICommand	LoadClusterItemsCommand property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	377	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsLoadingClusterItems	StackPanel.Visibility	Visibility	IsLoadingClusterItems property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	388	VCenterMigrationTool
Error	1	VCenterMigrationPage	ClusterItems	StackPanel.Visibility	Visibility	ClusterItems property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	402	VCenterMigrationTool
Error	1	VCenterMigrationPage	ClusterItems	ScrollViewer.Visibility	Visibility	ClusterItems property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	426	VCenterMigrationTool
Error	1	VCenterMigrationPage	ClusterItems	ItemsControl.ItemsSource	IEnumerable	ClusterItems property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	430	VCenterMigrationTool
Error	1	VCenterMigrationPage	IsMigrating	Card.Visibility	Visibility	IsMigrating property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	519	VCenterMigrationTool
Error	1	VCenterMigrationPage	OverallProgress	TextBlock.Text	String	OverallProgress property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	533	VCenterMigrationTool
Error	1	VCenterMigrationPage	OverallProgress	ProgressBar.Value	Double	OverallProgress property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	541	VCenterMigrationTool
Error	1	VCenterMigrationPage	CurrentTaskDetails	TextBlock.Text	String	CurrentTaskDetails property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	547	VCenterMigrationTool
Error	1	VCenterMigrationPage	TotalItemsToMigrate	TextBlock.Text	String	TotalItemsToMigrate property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	563	VCenterMigrationTool
Error	1	VCenterMigrationPage	SuccessfulMigrations	TextBlock.Text	String	SuccessfulMigrations property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	574	VCenterMigrationTool
Error	1	VCenterMigrationPage	FailedMigrations	TextBlock.Text	String	FailedMigrations property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	586	VCenterMigrationTool
Error	1	VCenterMigrationPage	SkippedMigrations	TextBlock.Text	String	SkippedMigrations property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	598	VCenterMigrationTool
Error	1	VCenterMigrationPage	OverallStatus	TextBlock.Text	String	OverallStatus property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	625	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrationSummary	TextBlock.Text	String	MigrationSummary property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	630	VCenterMigrationTool
Error	1	VCenterMigrationPage	MigrationEndTime	TextBlock.Visibility	Visibility	MigrationEndTime property not found on object of type VCenterMigrationPage.	C:\Git\Apps\LatestVcenterApp\Views\Pages\VCenterMigrationPage.xaml	630	VCenterMigrationTool
